,en,ru
294,"Public transport is available, and in countries like Kenya, it's often run by local entrepreneurs using minivans like this.","Есть общественный транспорт, и в таких странах, как Кения, местные предприниматели часто используют вот такие минивэны."
295,"One of them is a sociological theory called homophily, which basically says people are friends with people like them.","Одной из них является социологическая теория под названием гемофильность, которая гласит, что люди дружат с людьми, похожими на них."
296,"We'll be starting with a tribal consultation resource, focused on educating indigenous communities on the potential use and misuse of genetic information.","Мы начнём с консультаций для племени, направленных на информирование местных общин о возможной пользе и злоупотреблении генетической информацией."
297,"But if you got sick in the remote, rural rainforest communities, where you could be days from the nearest clinic — I was seeing my patients die from conditions no one should die from, all because they were getting to me too late.","Но если ты заболел в удалённой провинциальной общине в тропиках, находящейся в нескольких днях от ближайшей клиники — я видел, как люди умирали от того, от чего никто не должен умирать, лишь потому что добирались до меня слишком поздно."
298,The third idea that I want to put to you is preference matching between states and refugees to lead to the kinds of happy outcomes you see here in the selfie featuring Angela Merkel and a Syrian refugee.,"Третья идея, которую я хочу донести до вас, — это соответствие предпочтений государств и беженцев, которые ведут к счастливым исходам, подобным этому на фото с Ангелой Меркель и сирийским беженцем."
299,"So, whenever you lost information, you'd move to symmetry; whenever you added information to a system, you would break symmetry.","Таким образом, всякий раз, когда вы теряете информацию, вы приходите к симметрии, и всякий раз, когда вы добавляете информацию в систему, вы нарушаете симметрию."
300,"So it's a deep — think about it in a big three-dimensional space, very deep three-dimensional space with herds of tuna, whales, all kinds of deep sea marine life like we've seen here before.","Итак, там глубоко - представьте большое трехмерное пространство, очень глубокое трехмерное пространство, с стаями тунца и китами, и всеми видами глубоководной морской жизни, такой же как мы видели раньше."
301,"And so I think the answer to this puzzle is that there's a much better solution out there, that's gotten nobody excited because everyone is so delighted with the way car seats are presumably working.","И, мне кажется, разгадка этого феномена в том, что есть гораздо лучшее решение, от которого никто не приходит в восторг, потому что все так довольны тем, как детские кресла в принципе должны работать."
302,"For the first time in our history, men and women in Indian cities woke up to the horrific truth about the true state of women in the country.",Впервые в нашей истории мужчины и женщины в индийских городах открыли глаза на ужасную правду о реальном положении женщин в стране.
303,"In one case, one of the bombs, which fell out of an Air Force plane, didn't detonate because the nuclear core was stored somewhere else on the plane.","В первом случае одна из бомб, выпавшая из самолета ВВС США, не взорвалась, потому что ядерная боеголовка осталась где-то в самолёте."
304,"Now on the one hand, exhorting us to ""drill, baby, drill,"" because God put those resources into the ground in order for us to exploit them, and on the other, glorying in the wilderness of Alaska's untouched beauty on her hit reality TV show.","Итак, с одной стороны, нас призывают ""копай, детка, копай"", потому что Бог поместил эти ресурсы в недра, чтобы мы смогли использовать их, с другой стороны, восхваляют дикую, нетронутую красоту Аляски во время её популярного реалити-шоу."
305,"After Yale and a law degree from Columbia, Clyde spent the next 30 years as one of America's top civil rights lawyers.","Окончив Йель и получив степень юриста в университете Колумбия, следующие 30 лет он посвятил гражданскому праву и стал одним из лучших юристов Америки."
306,10 IRA prisoners were in the process of starving themselves to death in protest against conditions in jail.,10 заключённых ИРА [Ирландская республиканская армия] голодали в знак протеста против условий содержания в тюрьме и были близки к смерти.
307,"So even in the event of an accident, yeah, the reactor may be toast, which is, you know, sorry for the power company, but we're not going to contaminate large quantities of land.","Так что даже в случае аварии, да, реактору скорее всего конец, и это очень неприятный инцидент для энергетической компании, но зато не произойдет заражение обширных областей земли."
308,"And as we danced and danced, and we approached this circle of women, men, women, children, everybody was there.","И пока мы танцевали и танцевали, мы приближались всё ближе к этому кругу женщин, мужчин, женщин, детей Все собрались там."
309,"Cluster bomb use creates a vicious circle of impact on communities, and not only the lives of their victims.","Использование кассетных бомб порождает порочный круг, влияет не только на жизнь жертв, но и сообществ."
310,"Our traditions have always known this, and that is why they have always cultivated stories at their heart and carried them forward in time for us.","В рамках наших традиций, мы всегда знали это, и вот почему в традициях всегда лелеялись рассказы, и они дошли до нас через время."
311,"You know, it turns out that when we go to persuade somebody on a political issue, we talk like we're speaking into a mirror.","Так выходит, что когда мы собираемся кого-то убедить в диалоге о политике, мы говорим словно с зеркалом."
312,"But on a practical level, you also have to deliver services efficiently, and, odd as it may seem, the inspiration came from McDonald's.","На практическом же уровне, услуги нужно поставлять эффективно, и, как ни странно, на это вдохновил МакДональдс."
313,"For example, we have shown that by adding only a small percent of nanocellulose into cotton fibers, the same as my shirt is made of, it increases its strength dramatically.","Например, мы показали, что при добавлении лишь небольшого процента наноцеллюлозы в хлопковую ткань, например, в такую, из которой сделана моя рубашка, её прочность возрастает в разы́."
314,"Then, interestingly, they gave the students a test before and after the experiment, so they could clearly measure the learning impact of the students.","Интересно, что студентов протестировали до и после эксперимента, чтобы можно было точно определить прогресс в их обучении."
315,"But if we follow the laws of origami, we can put these patterns into another fold that itself might be something very, very simple, but when we put it together, we get something a little different.","Но если мы следуем законам оригами, мы можем поместить эту модель на другой изгиб, который сам по себе очень и очень прост, но когда мы их совместим, мы получим что-то немного другое."
316,That's what I want to talk to you about tonight — how doing and teaching this type of surgery led us on a search for a better universal translator.,Именно об этом я и хочу сейчас поговорить — как практика и обучение минимально инвазивной хирургии привели нас к поиску универсального переводчика.
317,"And caregiving itself develops patience — a lot of patience — and empathy, creativity, resilience, adaptability.","Забота о семье помогает вырабатывать терпение — крепкое терпение — умение сочувствовать, творчество, стойкость, способность к адаптации."
318,"But I think the biggest conceptual pitfall that cybertopians made is when it comes to digital natives, people who have grown up online.","Но я считаю, наибольшая концептуальная ошибка со стороны киберутопистов - это разговоры о цифровом поколении, людях выросших в онлайн."
319,"For example, these are all of the dead trees in red that suffered mortality following the 2010 drought.","Например, всё, что показано здесь красным цветом — это мёртвые деревья, которые погибли после засухи 2010 года."
320,My bouquet and corsage was actually filled with wildflowers from Brooklyn — also added in a little bit of lavender and sage to keep us grounded because we were so nervous.,"Мой букет и бутоньерка были составлены из полевых цветов Бруклина, мы также добавили немного лаванды и шалфея, чтобы успокоиться, потому что мы слишком нервничали."
321,"Fewer than 2 percent of those offices are held by Asian-Americans or Latinos, the two largest immigrant groups in our country.","Менее, чем двумя процентами из них руководят латиноамериканцы и азиаты — две крупнейшие группы иммигрантов в нашей стране."
322,We should have known that this existed because this is the only bacteria that you can see to the naked eye.,"Нам бы следовало знать о ее существовании, потому что это единственная бактерия, которую можно увидеть невооруженным глазом."
323,"And what he's going to bring out here is a surveillance drone that weighs about 2 ounces — that includes the video camera, the batteries that run it, the telemetry, the receiver and so on.","И здесь он собирается показать беспилотный самолёт-разведчик, который весит около 57 граммов — и включает в себя видеокамеру, батарейки, на которых он работает, телеметрию, приёмник и так далее."
324,"And on the first day at Simikot in Humla, far west of Nepal, the most impoverished region of Nepal, an old man came in clutching a bundle of rags.","И в первый день пребывания в Симикоте в Хумле, что в дальней западной части Непала, самой бедной части Непала, появился старый человек, прижимая к себе груду лохмотьев."
325,"First, that artists and creators embrace the idea, choose that their work be made available more freely.","Во-первых, чтобы художники и создатели приняли эту идею; делать выбор, чтобы их работы были более доступны."
326,"But we activate targets in the brain, different ones, using that optical fiber array I told you about in the previous slide, in order to try and figure out which targets can cause the brain to overcome that memory of fear.","Но мы активируем уже другие области мозга, используя оптоволокно с предыдущего слайда, чтобы определить, какие области мозга помогут мозгу забыть об этом страхе."
327,"But you will look into the eyes of seeming strangers, and you will recognize your ohana, your family.","Но ты будешь заглядывать в глаза тех, кого ты не знаешь, и будешь узнавать в них свою охана, свою семью."
328,"Now, of our three stories, this one probably surprised me the most, since as you all know, the country is still struggling with so many problems.","Из сегодняшних трёх историй эта удивила меня больше всего, поскольку, как вы все знаете, в этой стране ещё столько нерешённых проблем."
329,"It's based on the collective wisdom, the collective knowledge, the collective work, of all of the scientists who have worked on a particular problem.","Это коллективная мудрость, коллективные знания, коллективная работа всех тех учёных, которые занимались определённой проблемой."
330,"We're at 125 lightbulbs per person, and that little blue dot there is showing you the land area of the United Kingdom.","Мы сейчас на уровне 125 лампочек на человека, а эта синяя точка обозначает размер территории Великобритании."
331,"This is important, because it tells us that if you have moderate biting densities, you can eradicate malaria by mosquito proofing houses.","А это важно, потому что в ней говорится, что если количество укусов сравнительно небольшое, то можно уничтожить болезнь, защитив дома от комаров."
332,"I think most people don't want to be dead, but I do think most people want to have some control over how their dying process proceeds.","Я думаю, большинство людей не хочет умирать, но я считаю, большинство людей хотят иметь хоть какой-то контроль над процессом своей смерти."
333,"Nonetheless, solar storms can still be responsible for disrupting satellite telecommunications and operations, for disrupting navigation systems, such as GPS, as well as electric power transmission.","Тем не менее, солнечные бури могут стать причиной сбоев в работе спутниковых телекоммуникаций, систем навигации, таких как GPS, а также передачи электричества."
334,Their skill of coaching their machines effectively counteracted the superior chess knowledge of their grandmaster opponents and much greater computational power of others.,Их умелое управление компьютерами превзошло глубочайшие знания шахмат игравших против них гроссмейстеров и намного бóльшие вычислительные мощности других машин.
335,So he applied this technique to taking a really blurry image of a cell and moving lots of structured light patterns across it until this cell became crystal clear.,"Он применил эту технологию, взяв сильно размытое изображение клетки и наложив на неё множество упорядоченных световых лучей, так что клетка стала кристально чёткой."
336,"So my question is, if it can be done in Europe, why not in the Middle East? Why not, thanks to a common identity, which is the story of Abraham, and thanks to a common economy that would be based, in good part, on tourism?","Поэтому я хочу спросить, если это может быть сделано в Европе, почему этого нельзя сделать на Ближнем Востоке? Почему нет? Благодаря общему самосознанию - истории Авраама - и общей экономике, которая во многом будет опираться на туризм."
337,"And we've dealt with it by killing off lots and lots and lots of chickens, and unfortunately often not reimbursing the peasant farmers with the result that there's cover-up.","Мы боролись с ним, убивая бессчётное количество кур и, к сожалению, часто не возмещая расходов фермерам, в результате чего люди стали их скрывать."
338,And the moment you step back from the God complex — let's just try to have a bunch of stuff; let's have a systematic way of determining what's working and what's not — you can solve your problem.,И в момент когда вы сделали шаг назад от комплекса бога — давайте просто попробуем такую ерунду; пусть у нас есть систематический путь для определения того что работает и что не работает — вы можете решить проблему.
339,They said the CEO could have asked them to present to the whole company about their journey over the last two years and what they decided to do.,"Они сказали, директор мог бы попросить их представить всей компании их разработки за последние два года и что они решили сделать."
340,"What do I know that would cause me, a reticent, Midwestern scientist, to get myself arrested in front of the White House protesting?","Что же я такого знаю, что привело меня, молчаливого учёного со Среднего Запада, к протесту и последующему аресту у стен Белого дома?"
341,"But there are things we might have to let go of, fellow citizen, starting with our own cherished versions of reality.","Но существуют вещи, от которых нам следовало бы отказаться, согражданин мира, начиная со столь любимых нами версий реальности."
342,"And that player's been told, remember the experience of that force and use your other finger to apply the same force down to the other subject's finger through a force transfuser — and they do that.","Игроку говорят, чтобы он запомнил ощущение этой силы и использовал свой другой палец, чтобы применить такую же силу на палец другого объекта через датчик силы — они это сделали."
343,"And they all told stories about how they were qualified for jobs, qualified for promotions, they didn't get them, they were really angry.","Каждый из них рассказал о том, как подходящая работа, заслуженное повышение им не достались, и они были в ярости."
344,You've got to institutionalize a system where you actually invite the Kosovars to come and tell you what they think.,"Вы должны разработать систему, когда вы по-настоящему приглашаете косоваров, чтобы они пришли и сказали, что они думают."
345,"But, somehow, none of that adds up to me, to what I think India really can aim to contribute in the world, in this part of the 21st century.","Но для меня всё это не совсем то, что Индия, по моему мнению, могла бы дать миру в нынешний период 21-го века."
346,"And then new particles might show up in our data as bumps — slight deviations from what you expect, little clusters of data points that make a smooth line not so smooth.","Новые частицы могут появиться в данных в виде неровностей — небольших отклонений от ожидаемых данных, маленьких кластеров, из-за которых линия становится менее плавной."
347,And what they taught us was that designing a checklist to help people handle complexity actually involves more difficulty than I had understood.,"Мы поняли, что разработать контрольную карту, чтобы помочь людям справиться со сложностями, на самом деле труднее, чем я представлял."
348,"They're open, these festivals, because, like in Minto, they understand that the dialogue between the local and the global is essential.","Они открытые, потому что, как в Минто, создатели понимают, что диалог между локальным и глобальным необходим."
349,"What is new, and what we will have in a few months, I hope, is that ability to use this same renewable energy system to provide and produce oxygen on site.","Новый её аспект, я надеюсь, поступит к нам через пару месяцев — это возможность использовать систему возобновляемой энергии для производства и обеспечения кислородом на месте."
350,"But what we saw was a public that was flooded with hysterical and sensational coverage, sometimes inaccurate, sometimes completely wrong.","Но мы видели людей, сбитых с толку истеричным и сенсационным освещением, порой неточным, а иногда даже и вовсе неверным."
351,"But we're also perfectly comfortable buying an MP3 player from Apple, or a phone from Apple, or a DVR from Apple.","Но мы чувствует себя так же комфортно, покупая MP3 плеер от Apple или телефон от Apple, или цифровой видеорегистратор от Apple."
352,"Do you want a religious service or an informal party, or do you want to go out with a bang, literally, in a firework?","Вы хотите религиозную службу или неофициальную вечеринку? Или хотите, чтобы вас выносили с грохотом, в прямом смысле, с фейерверком?"
353,"We don't take a picture of anywhere on the planet every day, we take a picture of every single place on the planet every day.","Мы не фотографируем просто участки планеты на ежедневной основе, мы ежедневно фотографируем каждую точку планеты."
354,"And if you're then interested in the history of a piece of DNA, or the whole genome, you can reconstruct the history of the DNA with those differences you observe.","И если вы потом заинтересуетесь историей части ДНК или всего генома, вы можете реконструировать историю ДНК, пользуясь теми различиями, которые вы увидели."
355,"The man in the middle is an Argentinian researcher, and he has documented the steady decline of that land over the years as they kept reducing sheep numbers.","Человек в середине — аргентинский исследователь, который зафиксировал неуклонное ухудшение этой земли в течение нескольких лет по мере снижения количества овец."
356,We very strongly believe that the theatrics of a concert hall is as much in the space of intermission and the space of arrival as it is when the concert starts.,"Мы твёрдо убеждены, что театральность концертного зала заключается в том, что это место, куда люди приходят и где проводят антракты, а не только сам концерт."
357,"By the way, all these weird names — I didn't bother you with the Latin names of these creatures, just the popular names.","Кстати, все эти странные имена — я не беспокою вас латинскими именами этих созданий, всего лишь простонародными названиями."
358,"And the farther you are away in distance, the longer it is in time from the initial blast; and the more separation between you and the outside atmosphere, the better.","И чем дальше вы находитесь, чем больше времени прошло от взрыва, чем больше преград между вами и внешней атмосферой, тем лучше."
359,"So for example, many people share with me this wish, that some day a more advanced version of Siri, the digital assistant on Apple's iPhone, will be more like a best friend, someone who will listen when others won't.","К примеру, многие делятся желанием, что когда-нибудь более продвинутая версия Сири, цифрового помощника на Apple iPhone, станет лучшим другом, тем, кто будет слушать, когда другие отвернутся."
360,"So, if you work hard and have a good career, if you work really, really, really hard, you'll have a great career.","Так вот, если упорно работаешь и получаешь хорошую карьеру, то если работать очень, очень, очень усердно, так будет выдающаяся карьера."
361,"Even when someone does call for empathy and understanding for the other side, the conversation nearly always devolves into a debate about who deserves more empathy.","Даже когда кто-то призывает к сочувствию и пониманию к другой стороне, разговор почти всегда сводится к тому, кто больше заслуживает сочувствия."
362,"Our job was to find out how many Iraqis had been forced from their homes as a result of the war, and what they needed.","Работа заключалась в том, чтобы выяснить, сколько иракцев были вынуждены покинуть свои дома из-за войны, и как им помочь."
363,"So every day in this country three million patients pass through about 150,000 clinic waiting rooms in this country.",Каждый день в этой стране три миллиона больных людей проходят через 150 тысяч приёмных в этой стране.
364,"And then there were the fiscal hawks, the people who wanted to cut down on the national debt, Tea Party, cut the size of government.","Есть ещё и финансовые консерваторы, которые ратуют за снижение национального долга, движение Чаепития, уменьшение правительства."
365,"And by sustainability, I mean the really juicy things, like environmental and social issues and corporate governance.","Под устойчивостью я понимаю такие по-настоящему пикантные моменты, как экологические и социальные проблемы и корпоративное управление."
366,"Rather than stopping and turning around, athletes could somersault under the water and get going right away in the opposite direction.","Вместо остановки для поворота пловцам разрешили делать сальто в воде, что позволило очень быстро менять направление движения."
367,"It actually takes things we would consider waste — things like seed husks or woody biomass — and can transform them into a chitinous polymer, which you can form into almost any shape.","С ним могут использоваться материалы, которые являются отходами, например, оболочка семян или деревянная биомасса, которые превратятся в хитиновый полимер, которому можно придать практически любую форму."
368,"You know, the whole XO laptop, from One Laptop per Child, is based on the idea of collaboration and mash and networking.","Знаете, весь ХО ноутбук проекта « One Laptop Per Child » основан на понятии сотрудничества и мешанины и сетевых связей."
369,"And so the shield law, as much as we want it — we want a professional class of truth-tellers — it is becoming increasingly incoherent, because the institution is becoming incoherent.","Таким образом, закон о защите конфиденциальности информации, который нам так нужен – ведь нам нужен профессиональный класс людей, говорящих правду – становится все более непоследовательным, наряду с ростом неупорядоченности в самом институте."
370,"But that black line shows what a food supply should be in a country if they allow for a good, stable, secure, nutritional diet for every person in that country.","Чёрная линия показывает, каковы должны быть продовольственные ресурсы для обеспечения хорошего, постоянного, гарантированного и питательного рациона каждому человеку в данной стране."
371,"This picture that I have here, you see this is the planning of the Christmas trees, and that man you see there with the three stars, he's Captain Juan Manuel Valdez.","Вот на этой картинке вы видите процесс планирования установки рождественских ёлок, а мужчина с тремя звёздами на погонах — капитан Хуан Мануэль Вальдез."
372,My pictures can play a supporting role to the work of NGOs by shedding light on the critical social problems they're trying to deal with.,"Мои фотографии могут играть вспомогательную роль в работе неправительственных организаций, проливая свет на критические социальные проблемы, с которыми они пытаются справиться."
373,"Of course, since that time, Google has come up with much more sophisticated algorithms, but already this was beautiful.","Разумеется, с тех пор в Google придумали намного более изощрённые алгоритмы, но уже и этот был прекрасен."
374,"Congress deadlocked, and the country's problems — drugs, poverty, crime, corruption — spun out of control.","Конгресс оказался несостоятельным, а проблемы страны — наркотики, бедность, преступность, коррупция — вышли из-под контроля."
375,"Actually, when you look at it and experience it, you find that most of the time, what is given to us is the opportunity to enjoy, and we only miss it because we are rushing through life and we are not stopping to see the opportunity.","На самом деле, если вы взглянете на это и ощутите это, вы поймёте, что чаще всего, то, что нам дано — это возможность наслаждаться, а мы упускаем её только потому, что мы мчимся по жизни, и мы не останавливаемся, чтобы увидеть возможность."
376,"So for example, right now, if I focus too much on the balls, then there's no way I can relax and talk to you at the same time.","Например, если я сейчас полностью сосредоточусь на шарах, то у меня никак не получится расслабиться и в то же время разговаривать с вами."
377,"The seeds give an oil, a very stable oil which is sought after by the cosmetic industry to give to produce body lotions, for example.","Семена баобаба дают очень стойкое масло, за которым охотится косметическая промышленность — для изготовления лосьонов для тела, например."
378,"In San Ramon, California, they published an iPhone app in which they allow you or me to say we are certified CPR-trained, and then when someone has a heart attack, a notification goes out so that you can rush over to the person over here and deliver CPR.","В Сан Рамон, Калифорния, создано приложение для iPhone, которое позволяет вам и мне отметиться как человеку, который знает, как делать сердечно-лёгочную реанимацию, и когда у кого-то рядом случается приступ, вам приходит сообщение и вы можете подбежать и оказать такую помощь."
379,"And we then took a bus and took some walks and went to Harran, where, in the Bible, he sets off on his journey.","Мы наняли автобус и совершили несколько пеших переходов и прибыли в Харран, откуда, согласно Библии, Авраам начал своё путешествие."
380,"So, the SETI Institute, with a little bit of help from me, and a lot of help from Paul Allen and a variety of other people, is building a dedicated radio telescope in Hat Creek, California, so they can do this SETI work.","Институт SETI, с моей помощью, и с намного большей помощью Пола Аллена, и ряда других людей, строит радиотелескоп, в Хет Крик, Калифорния, специально для нужд проекта SETI."
381,Why wasn't the real unfairness law's refusal to protect African-American women simply because their experiences weren't exactly the same as white women and African-American men?,"Почему суд проявил жестокую несправедливость, отказав в праве на защиту афроамериканкам, посчитав, что их случаи немного отличаются от подобных случаев дискриминации белых женщин и мужчин-афроамериканцев?"
382,"You can be loyal to your family and to your community and to your nation, so why can't you also be loyal to humankind as a whole?","Можно быть преданным своей семье, своему сообществу и своему народу, так отчего же не быть преданным и человечеству в целом?"
383,"And when I had this thought, I was imagining that I would make — I would have a whole machine theater evening, where I would — you would have an audience, the curtain would open, and you'd be entertained by machines on stage.","И когда мне пришла в голову эта идея, я представлял себе, что создам — целый механический театр, где я буду — где будет аудитория, которую, после того, как откроется занавес, будут развлекать машины."
384,"And as we think about that, let's take inspiration from the absolutely amazing capabilities of the human body and the human mind.","Размышляя над этим, давайте черпать вдохновение в изумительных способностях человеческого тела и ума."
385,"I always knew as a kid that I wanted to make a difference, and to somehow make the world more beautiful, more interesting and more just.","С детства я всегда хотел принести какую-то пользу, сделать мир прекраснее, интереснее и справедливее."
386,"If we're talking about national security problems, maybe it's the Secretary of State, maybe it's the Secretary of Defense, the Director of National Intelligence, maybe the ambassador to the United Nations, or somebody else who they think is going to know more about the particular problem.","И если мы говорим о проблемах национальной безопасности, возможно этот государственный секретарь, может быть это министр обороны, директор национальной разведки, может быть посол в ООН, или кто-то еще, кто, они полагают, знает больше о конкретной проблеме."
387,"So, let me go through what you gain when you look at the world this way, besides some entertaining insights about human desire.","Так позвольте мне объяснить какую пользу вы получаете, когда смотрите на мир таким образом, кроме некоторых забавных открытий о человеческих желаниях."
388,"When doing research, we often ask ourselves fundamental abstract questions that try to get at the heart of a matter.","В процессе исследования мы часто задаёмся краеугольными абстрактными вопросами, чтобы докопаться до сути."
389,"Sure, the bruise hurts like hell, and you almost certainly don't like the discolored look, but we all know the bruise per Se is not the problem.","Да, это чертовски больно, и, конечно, вам не нравится как теперь выглядит ваша нога, но мы знаем, что синяк сам по себе не проблема."
390,"They say hey, we need to work with you to secure your systems, but in reality, they're giving bad advice to these companies that makes them degrade the security of their services.","Но на самом деле они оказывают этим компаниям медвежью услугу, что приводит к ухудшению безопасности их служб."
391,"So one weekend I'd be learning how to fold dumplings, and the next, I'd be traditional-style dancing at a powwow, immersed in the powerful sounds of drums and singers.","Поэтому одни выходные я училась лепить китайские пельмени, а на следующие — изучала народные танцы у шаманов, погружённая в мощные звуки пения и игры на барабанах."
392,We designed an electronic health record system that is used by health care workers while seeing patients.,"Мы разработали электронную систему записи и учёта пациентов, которая используется медработниками при приёме пациентов."
393,"And I think we can go and use our technology to go and digitize things, put them on the Net, and then download, print them and bind them, and end up with books again.","И я думаю, что мы можем использовать наши технологии и оцифровать книги, разместить их в интернете и потом скачивать, распечатать их и сшить и это будет выглядеть снова как книги."
394,"And when we got the personnel records, typically, we would have hidden these, shared them with a few intelligence agencies, and then try to operate with them.","Когда мы получали кадровые архивы, то обычно прятали их, делились ими с некоторыми спецслужбами и пытались с ними работать."
395,"And the nurse takes you into a room, and she tells you about the tests and HIV and the medicines you can take and how to take care of yourself and your baby, and you hear none of it.","Медсестра отводит вас в комнату и объясняет вам результаты анализов, рассказывает и про ВИЧ, и про медикаменты, которые вам нужно принимать, и как правильно заботится о себе и ребенке, но вы ничего этого не слышите."
396,"So the energy that it created was great for the meme phase, but they were so committed to participation, that they never got anything done.","И созданная энергия была идеальна для фазы мема, но они были настолько преданы участию, что они ничего не сделали."
397,"We live in a world in which boundaries start to blur between the different domains, and in which collaboration and interaction becomes far more important than keeping separations.","Мы живём в мире, где границы начинают размываться между разными сферами, и где сотрудничество и взаимодействие становятся важнее разделения."
